NOMBRE,ZONIFICACION,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
DANIEL LEMAITRE,CTG_DLM,-1,-1,,,,,,,,
SANTA MARIA,CTG_DLM,-1,-1,,,,,,,,
CANAPOTE,CTG_DLM,-1,-1,,,,,,,,
SAN PEDRO Y LIBERTAD,CTG_TRC,-1,-1,,,,,,,,
SIETE DE AGOSTO,CTG_DLM,-1,-1,,,,,,,,
TORICES,CTG_TRC,-1,-1,,,,,,,,
SAN FRANCISCO,CTG_DLM,-1,-1,,,,,,,,
PABLO VI - II,CTG_TRC,-1,-1,,,,,,,,
PEDRO SALAZAR,CTG_TRC,-1,-1,,,,,,,,
LOS COMUNEROS,CTG_TRC,-1,-1,,,,,,,,
PETARE,CTG_TRC,-1,-1,,,,,,,,
PALESTINA,CTG_TRC,-1,-1,,,,,,,,
REPUBLICA DEL CARIBE,CTG_TRC,-1,-1,,,,,,,,
PARAISO II,CTG_TRC,-1,-1,,,,,,,,
LA PAZ,CTG_TRC,-1,-1,,,,,,,,
LOMA FRESCA,CTG_TRC,-1,-1,,,,,,,,
PABLO VI - I,CTG_TRC,-1,-1,,,,,,,,
SAN DIEGO,CTG_CEN,-1,-1,,,,,,,,
CERRO DE LA POPA,CTG_TRC,-1,-1,,,,,,,,
SAN BERNARDO,CTG_DLM,-1,-1,,,,,,,,
NARIŃO,CTG_TRC,-1,-1,,,,,,,,
ESPINAL,CTG_MNG,-1,-1,,,,,,,,
LO AMADOR,CTG_TRC,-1,-1,,,,,,,,
EL POZON,CTG_PZN,-1,-1,,,,,,,,
PIE DE LA POPA,CTG_MNG,-1,-1,,,,,,,,
LA ESPERANZA,CTG_EPZ,-1,-1,,,,,,,,
LA QUINTA,CTG_EPZ,-1,-1,,,,,,,,
LA CANDELARIA,CTG_LBN,-1,-1,,,,,,,,
BOSTON,CTG_LBN,-1,-1,,,,,,,,
BARRIO CHINO,CTG_MNG,-1,-1,,,,,,,,
REPUBLICA DEL LIBANO,CTG_LBN,-1,-1,,,,,,,,
ALCIBIA,CTG_LBN,-1,-1,,,,,,,,
EL PRADO,CTG_ESP,-1,-1,,,,,,,,
MARTINEZ MARTELO,CTG_MNG,-1,-1,,,,,,,,
TESCA,CTG_RNE,-1,-1,,,,,,,,
VILLA ESTRELLA,CTG_PZN,-1,-1,,,,,,,,
AMBERES,CTG_ESP,-1,-1,,,,,,,,
ESPAŃA,CTG_ESP,-1,-1,,,,,,,,
ARMENIA,CTG_ESP,-1,-1,,,,,,,,
BRUSELAS,CTG_ESP,-1,-1,,,,,,,,
CHIQUINQUIRA,CTG_RNE,-1,-1,,,,,,,,
REPUBLICA DE VENEZUELA,CTG_RNE,-1,-1,,,,,,,,
ZARAGOCILLA,CTG_ZRG,-1,-1,,,,,,,,
ESCALLON VILLA,CTG_ZRG,-1,-1,,,,,,,,
LAS GAVIOTAS,CTG_ALP,-1,-1,,,,,,,,
